id_linea,id_venta,id_producto,nombre_producto_texto,cantidad,precio_unitario,monto_bruto,descuento,costo_unitario
1,1001,103,Salsa de Ajo Lucho,2,2400,4800,720.0,820
2,1002,110,Salsa Curry Tropical,1,3400,3400,0.0,1520
3,1003,103,salsa de ajo lucho,1,2400,2400,0.0,820
4,1004,107,Salsa Verde Jalapeno,1,2500,2500,0.0,980
5,1004,105,Salsa BBQ Tamarindo,1500,3000,3000,0.0,1280
6,1004,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
7,1005,101,Salsa Picante Habanero Lucho,24,2200,52800,6336.0,760
8,1006,101,Salsa Picante Habanero Lucho,12,2200,26400,0.0,760
9,1007,101,salsa picante habanero lucho ,1,2200,2200,0.0,760
10,1007,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
11,1007,105,Salsa BBQ Tamarindo,2,3000,6000,0.0,1280
12,1008,103,Salsa de Ajo Lucho,12,2400,28800,0.0,820
13,1009,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
14,1010,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
15,1010,103,Salsa de Ajo Lucho,2,2520,5040,0.0,820
16,1011,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
17,1012,102,chilero criollo lucho,1,2000,2000,0.0,690
18,1013,102,chilero criollo lucho,2,2000,4000,0.0,690
19,1014,101,Salsa Picante Habanero Lucho,1,2200,2200,0.0,760
20,1015,103,Salsa de Ajo Lucho,6,2400,14400,0.0,820
21,1015,101,Salsa Picante Habanero Lucho,12,2200,26400,0.0,760
22,1016,108,Aderezo Cilantro-Limon,1,2600,2600,0.0,1010
23,1016,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
24,1017,101,Salsa Picante Habanero Lucho,12,2310,27720,3326.4,760
25,1017,109,Salsa Inferno Carolina Reaper,12,4500,54000,6480.0,2100
26,1018,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
27,1019,101,Salsa Picante Habanero Lucho,2,2200,4400,0.0,760
28,1020,103,Salsa de Ajo Lucho,1,2400,2400,0.0,820
29,1021,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
30,1022,103,salsa de ajo lucho,3,2400,7200,1080.0,820
31,1023,101,Salsa Picante Habanero Lucho,6,2200,13200,0.0,760
32,1024,102,chilero criollo lucho,12,2000,24000,2880.0,690
33,1024,101,Salsa Picante Habanero Lucho,12,2200,26400,3168.0,760
34,1025,102,Chilero Criollo Lucho,1,2000,2000,0.0,690
35,1025,106,Salsa Chipotle Dulce,1,2900,2900,0.0,1190
36,1026,101,SALSA PICANTE HABANERO LUCHO,1,2200,2200,0.0,760
37,1027,102,Chilero Criollo Lucho,1,2000,2000,300.0,690
38,1027,103,Salsa de Ajo Lucho,3,2400,7200,1080.0,820
