id_producto,nombre_producto,id_categoria,presentacion_ml,precio_lista,costo_unitario,es_estrella
101,Salsa Picante Habanero Lucho,1,250,2200,760,1
102,Chilero Criollo Lucho,1,250,2000,690,1
103,Salsa de Ajo Lucho,2,250,2400,820,1
104,Salsa Mango-Habanero,3,250,3200,1350,0
105,Salsa BBQ Tamarindo,3,250,3000,1280,0
106,Salsa Chipotle Dulce,1,250,2900,1190,0
107,Salsa Verde Jalapeno,1,250,2500,980,0
108,Aderezo Cilantro-Limon,2,250,2600,1010,0
109,Salsa Inferno Carolina Reaper,3,120,4500,2100,0
110,Salsa Curry Tropical,3,250,3400,1520,0
