id_venta,fecha_venta,id_cliente,id_canal,canal_texto,id_vendedor,id_promocion,total_factura
1001,2024-01-01,1,2,FERIA DEL AGRICULTOR,4,2,4080.0
1002,2024-01-01,1,1, tienda  fisica,3,0,3400.0
1003,2024-01-01,30,4,Online,1,0,2400.0
1004,2024-01-01,1,1,Tienda fisica,2,0,7900.0
1005,2024-01-01,4,3,Mayoreo,3,1,46464.0
1006,2024-01-02,10,3,mayoreo,4,0,26400.0
1007,2024-01-02,1,1, tienda  fisica,2,0,10200.0
1008,2024-01-02,9,3,Mayoreo,1,0,28800.0
1009,2024-01-02,1,4,en  linea,4,0,4400.0
1010,2024-01-03,45,1,Tienda fisica,2,0,7240.0
1011,2024-01-03,38,1, tienda  fisica,1,0,2200.0
1012,2024-01-03,1,2,FERIA DEL AGRICULTOR,2,0,2000.0
1013,2024-01-03,72,4,En linea,4,0,4000.0
1014,2024-01-04,38,1,Tienda Fisica ,3,0,2200.0
1015,2024-01-04,12,3,mayoreo,1,0,40800.0
1016,2024-01-04,1,1, tienda  fisica,1,0,5000.0
1017,2024-01-04,3,3,Venta mayoreo,1,1,71913.6
1018,2024-01-04,1,2,FERIA DEL AGRICULTOR,3,0,2400.0
1019,2024-01-05,1,2,Feria,4,0,4400.0
1020,2024-01-05,1,1,Tienda Fisica ,2,0,2400.0
1021,2024-01-05,1,1, tienda  fisica,2,0,2000.0
1022,2024-01-05,1,2,feria,2,2,6120.0
1023,2024-01-06,10,3,MAYOREO,3,0,13200.0
1024,2024-01-06,4,3,Mayoreo,4,1,44352.0
1025,2024-01-06,1,4,En linea,1,0,4900.0
1026,2024-01-06,1,2,feria,1,0,2200.0
1027,2024-01-07,1,2,Feria,2,2,7820.0
1028,2024-01-07,1,4,EN LINEA,1,0,9200.0
1029,2024-01-07,1,4,en linea,3,4,7125.0
1030,2024-01-07,58,4,Online,4,0,2000.0
1031,2024-01-07,56,2,Feria,4,0,2100.0
1032,2024-01-08,3,3,mayoreo,1,0,13200.0
1033,2024-01-08,59,4,EN LINEA,3,0,2000.0
1034,2024-01-08,69,2,FERIA DEL AGRICULTOR,1,2,2142.0
1035,2024-01-08,4,3,Venta mayoreo,4,0,13200.0
1036,2024-01-09,2,3,Venta mayoreo,3,0,57600.0
1037,2024-01-09,1,2,FERIA DEL AGRICULTOR,1,0,4400.0
1038,2024-01-09,12,3,Venta mayoreo,1,0,84000.0
1039,2024-01-09,58,4,En linea,3,0,2200.0
1040,2024-01-09,4,3,Venta mayoreo,2,1,69696.0
1041,2024-01-09,71,1,tienda fisica,3,0,7800.0
1042,2024-01-10,9,3,Venta mayoreo,3,1,123974.4
1043,2024-01-10,5,3,mayoreo,3,1,81312.0
1044,2024-01-10,1,2,FERIA DEL AGRICULTOR,1,0,2200.0
1045,2024-01-10,66,4,EN LINEA,4,0,9200.0
1046,2024-01-10,2,3,MAYOREO,3,0,117600.0
1047,2024-01-10,9,3,Mayoreo,3,0,113880.0
1048,2024-01-10,58,4,Online,3,0,6600.0
1049,2024-01-11,1,2,feria,2,0,4180.0
1050,2024-01-11,3,3,MAYOREO,1,1,23232.0
1051,2024-01-12,1,1,Tienda fisica,3,0,2200.0
1052,2024-01-12,1,1,Tienda Fisica ,1,0,6600.0
1053,2024-01-12,68,1,tienda fisica,2,0,2400.0
1054,2024-01-12,57,1,Tienda fisica,4,0,4400.0
1055,2024-01-12,1,2,FERIA DEL AGRICULTOR,1,0,9400.0
1056,2024-01-13,1,2,Feria,1,0,4400.0
1057,2024-01-13,1,1,Tienda fisica,1,0,2000.0
1058,2024-01-13,11,3,Mayoreo,1,0,40800.0
1059,2024-01-13,1,2,Feria del agricultor,2,0,5200.0
1060,2024-01-13,1,1,Tienda Fisica ,4,0,2200.0
1061,2024-01-14,8,3,Mayoreo,1,1,59664.0
1062,2024-01-14,1,2,feria,4,0,2200.0
1063,2024-01-14,66,1,tienda fisica,2,0,2200.0
1064,2024-01-14,11,3,MAYOREO,4,0,40320.0
1065,2024-01-14,68,1, tienda  fisica,1,0,6000.0
1066,2024-01-14,1,1,Tienda Fisica ,2,0,3000.0
1067,2024-01-15,1,1, tienda  fisica,4,0,2200.0
1068,2024-01-15,1,2,Feria del agricultor,3,2,3570.0
1069,2024-01-15,12,3,Mayoreo,4,1,42240.0
1070,2024-01-15,12,3,MAYOREO,1,0,79200.0
1071,2024-01-16,32,4,en  linea,1,0,7600.0
1072,2024-01-16,1,1,Tienda Fisica ,3,0,6600.0
1073,2024-01-16,11,3,MAYOREO,4,1,44352.0
1074,2024-01-16,1,4,en linea,3,0,2900.0
1075,2024-01-16,1,1,Tienda Fisica ,3,0,2000.0
1076,2024-01-17,1,4,en linea,3,0,2900.0
1077,2024-01-17,1,2,feria,1,2,7310.0
1078,2024-01-17,6,3,MAYOREO,4,1,22176.0
1079,2024-01-17,10,3,Venta mayoreo,1,1,21120.0
1080,2024-01-17,1,1,TIENDA FISICA,1,0,2000.0
1081,2024-01-17,25,4,Online,2,0,4400.0
1082,2024-01-17,1,2,feria,4,2,2720.0
1083,2024-01-18,8,3,Venta mayoreo,4,0,26400.0
1084,2024-01-19,1,1,tienda fisica,4,0,2200.0
1085,2024-01-19,1,2,Feria,3,0,2000.0
1086,2024-01-19,1,4,en  linea,1,0,4600.0
1087,2024-01-19,1,2,FERIA DEL AGRICULTOR,1,0,6270.0
1088,2024-01-19,1,2,Feria,3,0,7800.0
1089,2024-01-19,1,4,EN LINEA,1,0,6800.0
1090,2024-01-20,1,2,Feria,2,0,2400.0
1091,2024-01-20,1,1, tienda  fisica,1,0,6400.0
1092,2024-01-20,72,4,en  linea,1,0,2200.0
1093,2024-01-21,1,4,en  linea,3,0,2280.0
1094,2024-01-21,1,1, tienda  fisica,3,0,3200.0
1095,2024-01-21,1,1,Tienda fisica,4,0,2400.0
1096,2024-01-21,6,3,Mayoreo,4,1,21120.0
1097,2024-01-21,39,4,en  linea,2,0,7400.0
1098,2024-01-21,1,4,en linea,3,0,2000.0
1099,2024-01-21,36,4,Online,1,0,8400.0
1100,2024-01-21,1,2,FERIA DEL AGRICULTOR,2,0,2400.0
1101,2024-01-21,64,4,EN LINEA,3,0,4600.0
1102,2024-01-21,39,4,en  linea,3,0,11200.0
1103,2024-01-21,2,3,mayoreo,4,1,32630.4
1104,2024-01-22,1,1, tienda  fisica,4,0,12080.0
1105,2024-01-22,1,2,feria,3,0,6600.0
1106,2024-01-22,9,3,MAYOREO,3,1,21120.0
1107,2024-01-22,4,3,Mayoreo,3,1,10560.0
1108,2024-01-23,1,2,feria,1,0,2900.0
1109,2024-01-23,1,1, tienda  fisica,2,4,3450.0
1110,2024-01-23,72,4,en linea,2,0,11150.0
1111,2024-01-24,1,1,Tienda fisica,3,0,2400.0
1112,2024-01-24,1,2,FERIA DEL AGRICULTOR,2,0,4500.0
1113,2024-01-24,1,1,TIENDA FISICA,1,0,8200.0
1114,2024-01-24,53,4,en linea,2,0,6000.0
1115,2024-01-24,12,3,Mayoreo,2,0,24000.0
1116,2024-01-24,1,1, tienda  fisica,2,0,4800.0
1117,2024-01-24,1,1,Tienda fisica,4,0,4520.0
1118,2024-01-24,16,1,tienda fisica,3,0,8500.0
1119,2024-01-25,10,3,mayoreo,2,0,92400.0
1120,2024-01-25,1,1,Tienda fisica,1,0,2200.0
1121,2024-01-25,1,2,Feria,1,2,2465.0
1122,2024-01-26,70,4,en  linea,2,0,2200.0
1123,2024-01-26,8,3,MAYOREO,4,1,92928.0
1124,2024-01-26,1,4,en  linea,4,0,2000.0
1125,2024-01-27,26,1, tienda  fisica,1,0,5200.0
1126,2024-01-27,61,1,Tienda Fisica ,1,0,6800.0
1127,2024-01-27,1,4,EN LINEA,3,0,4400.0
1128,2024-01-27,1,2,feria,2,2,2040.0
1129,2024-01-27,1,4,EN LINEA,4,0,2400.0
1130,2024-01-27,1,1,Tienda fisica,1,0,4000.0
1131,2024-01-28,1,2,FERIA DEL AGRICULTOR,4,4,1500.0
1132,2024-01-28,1,4,en  linea,1,0,2200.0
1133,2024-01-28,29,4,En linea,2,0,5040.0
1134,2024-01-28,3,3,MAYOREO,4,0,14400.0
1135,2024-01-28,1,2,Feria del agricultor,1,0,2400.0
1136,2024-01-28,50,4,Online,2,0,6400.0
1137,2024-01-28,52,1,TIENDA FISICA,4,0,6600.0
1138,2024-01-29,1,2,Feria,4,2,2040.0
1139,2024-01-29,1,1,Tienda Fisica ,1,0,2200.0
1140,2024-01-29,1,2,Feria,3,0,5600.0
1141,2024-01-30,1,1,Tienda Fisica ,2,0,4400.0
1142,2024-01-30,1,2,Feria,4,2,3400.0
1143,2024-01-31,1,2,feria,2,0,2200.0
1144,2024-01-31,1,4,Online,3,0,2500.0
1145,2024-01-31,2,3,MAYOREO,4,0,52800.0
1146,2024-01-31,1,1, tienda  fisica,4,0,2000.0
1147,2024-01-31,7,3,mayoreo,1,1,34214.4
1148,2024-02-01,1,2,feria,4,0,2200.0
1149,2024-02-01,33,4,en linea,3,0,2000.0
1150,2024-02-01,15,1,tienda fisica,3,0,8600.0
1151,2024-02-02,5,3,Mayoreo,3,0,67200.0
1152,2024-02-02,11,3,Venta mayoreo,1,1,62304.0
1153,2024-02-02,1,2,feria,4,0,2000.0
1154,2024-02-02,1,1, tienda  fisica,4,0,2000.0
1155,2024-02-02,5,3,mayoreo,3,1,23232.0
1156,2024-02-02,1,1,Tienda fisica,3,0,6620.0
1157,2024-02-02,63,2,Feria,2,2,3740.0
1158,2024-02-03,46,2,FERIA DEL AGRICULTOR,1,2,11220.0
1159,2024-02-03,3,3,MAYOREO,4,0,24000.0
1160,2024-02-03,1,4,en  linea,3,0,9000.0
1161,2024-02-03,1,1,Tienda Fisica ,2,0,8800.0
1162,2024-02-03,72,2,Feria,2,0,2000.0
1163,2024-02-03,13,3,Mayoreo,2,1,23232.0
1164,2024-02-03,1,1,Tienda Fisica ,4,0,4000.0
1165,2024-02-03,62,1,tienda fisica,2,0,2000.0
1166,2024-02-03,8,3,Mayoreo,4,0,52800.0
1167,2024-02-03,1,1, tienda  fisica,2,0,9210.0
1168,2024-02-04,1,2,feria,1,0,2400.0
1169,2024-02-04,2,3,mayoreo,1,1,46464.0
1170,2024-02-04,1,2,feria,1,0,2200.0
1171,2024-02-04,1,2,feria,1,0,2200.0
1172,2024-02-05,13,3,mayoreo,2,1,69696.0
1173,2024-02-05,31,1,Tienda fisica,1,0,2000.0
1174,2024-02-06,1,2,Feria,1,0,4800.0
1175,2024-02-06,29,1,Tienda Fisica ,1,0,9450.0
1176,2024-02-06,1,4,Online,4,0,2520.0
1177,2024-02-06,1,1,tienda fisica,4,0,4000.0
1178,2024-02-06,13,3,Venta mayoreo,1,4,70650.0
1179,2024-02-07,11,3,Venta mayoreo,1,0,24000.0
1180,2024-02-07,67,4,EN LINEA,3,0,2600.0
1181,2024-02-07,1,1, tienda  fisica,3,0,2400.0
1182,2024-02-07,59,4,EN LINEA,1,0,7200.0
1183,2024-02-07,39,4,en  linea,4,0,4000.0
1184,2024-02-07,54,4,EN LINEA,1,0,11400.0
1185,2024-02-07,60,4,Online,4,0,4600.0
1186,2024-02-08,1,1, tienda  fisica,2,0,3570.0
1187,2024-02-08,1,2,Feria,4,0,2200.0
1188,2024-02-08,47,1,tienda fisica,3,0,9600.0
1189,2024-02-08,7,3,mayoreo,1,0,91200.0
1190,2024-02-08,1,1,tienda fisica,2,0,6780.0
1191,2024-02-09,1,1,Tienda Fisica ,2,0,11700.0
1192,2024-02-09,1,2,Feria del agricultor,3,2,9180.0
1193,2024-02-09,70,4,EN LINEA,1,0,2310.0
1194,2024-02-09,1,1,Tienda Fisica ,4,0,2000.0
1195,2024-02-09,12,3,Mayoreo,2,1,53856.0
1196,2024-02-09,1,2,feria,4,0,2000.0
